"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Gpr37l1",-0.151329281892943,0.000824782235441319,"GPR37L1",1.34688202118724,0.0057794070837936,"Down","Up","Discordant"
"Hace1",-0.109510304519137,0.000848883955111419,"HACE1",-0.268387890709836,0.0289729199543084,"Down","Down","Concordant"
"Bckdhb",-0.158586804551422,0.000907554834121423,"BCKDHB",-0.447582873998099,0.0403598743791539,"Down","Down","Concordant"
"Clcn2",-0.125422774018026,0.00112195384507801,"CLCN2",1.28952414032155,0.000610248511241346,"Down","Up","Discordant"
"Prkca",-0.175669746875868,0.00151346416252042,"PRKCA",0.617579319524802,0.0163286606082726,"Down","Up","Discordant"
"Vamp1",-0.147354212936911,0.00156950927020796,"VAMP1",-0.958436827695188,0.000249093984023834,"Down","Down","Concordant"
"Zfp397",-0.124412711169499,0.00159471861535364,"ZNF397",-0.358391755535649,0.00448177855194604,"Down","Down","Concordant"
"Pim3",-0.0662126360400852,0.00161584279520986,"PIM3",1.14143436895726,1.62892696591245e-05,"Down","Up","Discordant"
"Errfi1",-0.151431240401968,0.00196700483927629,"ERRFI1",2.47246134003074,2.32068104463967e-16,"Down","Up","Discordant"
"Tpp1",-0.14934520732667,0.00206476197037935,"TPP1",-0.425048961489547,0.0446214304260235,"Down","Down","Concordant"
"Slc7a5",-0.124456368705422,0.00207657375643655,"SLC7A5",3.86379252811974,7.06852579908722e-11,"Down","Up","Discordant"
"Timp2",-0.150661132469988,0.00235109615716509,"TIMP2",-0.31091995692204,0.0387226628601124,"Down","Down","Concordant"
"Iqcc",-0.0911063402973572,0.00266055519152649,"IQCC",-0.670264477802829,0.00141091098501831,"Down","Down","Concordant"
"Htt",-0.108266151806916,0.00267652526624405,"HTT",-0.551978448266947,0.00555016520084256,"Down","Down","Concordant"
"Atp1a1",-0.177926939379752,0.00278070462951502,"ATP1A1",1.96831342051822,2.83978222987694e-15,"Down","Up","Discordant"
"Cdh19",-0.116393497654319,0.00301538545718976,"CDH19",0.557185739341524,0.0166725875656682,"Down","Up","Discordant"
"Slc27a1",-0.125352083707233,0.00317815246294488,"SLC27A1",-0.723270208286471,0.00678387661198289,"Down","Down","Concordant"
"Dag1",-0.162411154871982,0.00335822379888032,"DAG1",0.452299922636794,0.0319723226206573,"Down","Up","Discordant"
"Col5a1",-0.117961158299713,0.00344135702758933,"COL5A1",-0.774615284651586,8.09823681473354e-06,"Down","Down","Concordant"
"Sirpa",-0.120698148727731,0.00345092133289134,"SIRPA",0.526166317517518,0.0263956366122629,"Down","Up","Discordant"
"Tmem181a",-0.0955031464776239,0.0034603635367109,"TMEM181",0.249378570989164,0.0282018445431675,"Down","Up","Discordant"
"Amdhd2",-0.141321827880515,0.00382490402344312,"AMDHD2",-0.464737775685088,0.0253007024040457,"Down","Down","Concordant"
"Slc48a1",-0.103085360848778,0.00394114349476922,"SLC48A1",-0.419067522425082,0.0324772155807526,"Down","Down","Concordant"
"Tdrkh",-0.152632473336923,0.0039795224904493,"TDRKH",-0.357316447218337,0.0379229564477688,"Down","Down","Concordant"
"Cfp",-0.151740788644966,0.0040023087320294,"CFP",2.70661219868059,3.78237032454308e-09,"Down","Up","Discordant"
"Emid1",0.541070610903743,0.0040974218453319,"EMID1",-1.71902321814205,1.59403991963807e-11,"Up","Down","Discordant"
"Serinc1",-0.146682392500497,0.00431547464442282,"SERINC1",0.529012251181998,0.00501006783530578,"Down","Up","Discordant"
"Atf7",-0.0457746619998958,0.00440084013886195,"ATF7",-0.730025177276958,0.000266168879839558,"Down","Down","Concordant"
"Sh3bp5",-0.101573267443112,0.00458477581406294,"SH3BP5",0.769725466062316,0.00136378929780579,"Down","Up","Discordant"
"Aagab",-0.125907031570192,0.00460871400663603,"AAGAB",0.395105804158502,0.0370312996354424,"Down","Up","Discordant"
"Slc38a2",-0.0803467124551236,0.00475693513876307,"SLC38A2",0.937377457359951,6.48296092327976e-11,"Down","Up","Discordant"
"Tesk2",-0.142609290454589,0.00504230959486032,"TESK2",0.557185682094978,0.0115978183812389,"Down","Up","Discordant"
"Gjb1",-0.156374936255271,0.00567763878643337,"GJB1",2.15440654188172,0.000913282884113339,"Down","Up","Discordant"
"Atxn2",-0.0965758852636671,0.0057292612263414,"ATXN2",-0.569868126504766,0.00327076498568536,"Down","Down","Concordant"
"Xbp1",-0.174235184375391,0.00584526688429275,"XBP1",0.923904148636957,0.00397709245311176,"Down","Up","Discordant"
"Ppp1r16a",-0.135394682306879,0.00596111536344644,"PPP1R16A",-0.415080962446433,0.0326252800520048,"Down","Down","Concordant"
"Filip1",-0.0881398909057172,0.00681884460936732,"FILIP1",0.925510803598033,0.00192422478747432,"Down","Up","Discordant"
"Acap3",-0.141032727821394,0.00710876849106358,"ACAP3",-0.792997965282993,0.00548395731260536,"Down","Down","Concordant"
"Kif1a",-0.093634774274439,0.00727431825530961,"KIF1A",1.21098934022569,0.00475507092463218,"Down","Up","Discordant"
"Cryzl1",-0.0351354196069136,0.00749377816508455,"CRYZL1",-0.487690740494642,0.0135811436581068,"Down","Down","Concordant"
"Cyld",-0.100061572130868,0.00790094768368373,"CYLD",0.394198863752814,0.0235273695251941,"Down","Up","Discordant"
"Azin1",-0.134177773301966,0.010062933967489,"AZIN1",0.805594176187565,0.000395432410720482,"Down","Up","Discordant"
"Gpm6b",-0.116190617084044,0.0113916755776904,"GPM6B",0.648876276531755,0.0449669920396894,"Down","Up","Discordant"
"Tex2",-0.0587947404471132,0.0114403748237613,"TEX2",0.67500932373586,2.78885322173179e-05,"Down","Up","Discordant"
"Efcc1",-0.0569133041888024,0.0116996390429718,"EFCC1",-0.916910133173113,0.0178243201941416,"Down","Down","Concordant"
