"gene","STRING_id"
"Csnk1d","10090.ENSMUSP00000018274"
"Cst3","10090.ENSMUSP00000028938"
"Cstf3","10090.ENSMUSP00000028599"
"Ctbp1","10090.ENSMUSP00000078682"
"Ctdsp2","10090.ENSMUSP00000100891"
"Ctnna1","10090.ENSMUSP00000049007"
"Ctnnal1","10090.ENSMUSP00000036487"
"Ctnnd1","10090.ENSMUSP00000064518"
"Ctns","10090.ENSMUSP00000104116"
"Ctps","10090.ENSMUSP00000030381"
"Ctsa","10090.ENSMUSP00000099381"
"Ctsc","10090.ENSMUSP00000032779"
"Ctsd","10090.ENSMUSP00000121203"
"Cttnbp2","10090.ENSMUSP00000088089"
"Cul5","10090.ENSMUSP00000034529"
"Cxxc5","10090.ENSMUSP00000054307"
"Cyld","10090.ENSMUSP00000147654"
"Cyp2j6","10090.ENSMUSP00000030303"
"Cyp39a1","10090.ENSMUSP00000130073"
"Cyp51","10090.ENSMUSP00000001507"
"Cyth1","10090.ENSMUSP00000101909"
"D11Wsu47e","10090.ENSMUSP00000042025"
"D5Ertd579e","10090.ENSMUSP00000031091"
"Dab2ip","10090.ENSMUSP00000088532"
"Dag1","10090.ENSMUSP00000142109"
"Dars","10090.ENSMUSP00000027602"
"Dazap1","10090.ENSMUSP00000089958"
"Dbn1","10090.ENSMUSP00000021950"
"Dbp","10090.ENSMUSP00000079693"
"Dclk2","10090.ENSMUSP00000029719"
"Dcp1a","10090.ENSMUSP00000022535"
"Dcun1d5","10090.ENSMUSP00000150564"
"Ddb2","10090.ENSMUSP00000028696"
"Ddhd1","10090.ENSMUSP00000084577"
"Ddhd2","10090.ENSMUSP00000033975"
"Ddit4","10090.ENSMUSP00000020308"
"Ddn","10090.ENSMUSP00000074895"
"Ddx10","10090.ENSMUSP00000065198"
"Ddx24","10090.ENSMUSP00000105628"
"Ddx46","10090.ENSMUSP00000133245"
"Ddx5","10090.ENSMUSP00000021062"
"Ddx50","10090.ENSMUSP00000020270"
"Dek","10090.ENSMUSP00000021807"
"Dennd6a","10090.ENSMUSP00000039361"
"Dgcr8","10090.ENSMUSP00000009321"
"Dgka","10090.ENSMUSP00000026414"
