"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","mmu04660","T cell receptor signaling pathway","17/687","122/10644",0.139344262295082,2.15892333023123,3.38167306499975,0.00209202024336397,0.0132762823136559,0.00982487239798463,"18035/18019/26410/22637/16818/108723/18036/12042/12675/18761/29857/19264/18033/12503/12502/16822/21947",17
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","29/687","256/10644",0.11328125,1.7551173580786,3.21228900965804,0.00216688835268918,0.0134919463469326,0.00998447066184486,"12765/12575/17869/16193/19225/18035/20293/12771/26427/13063/21354/18019/14707/12767/231991/22339/14679/16176/12675/13557/14695/29857/16177/14674/16194/19354/18033/14991/18751",29
"Human Diseases","Infectious disease: viral","mmu05162","Measles","19/687","145/10644",0.131034482758621,2.0301761782864,3.28070879105631,0.00243578824447826,0.0148853726051449,0.0110156505403305,"16193/18035/13063/21929/24088/54123/12566/170780/56489/13665/16185/18036/21898/16176/16175/12675/18033/12502/15481",19
"Metabolism","Global and overview maps","mmu01250","Biosynthesis of nucleotide sugars","8/687","38/10644",0.210526315789474,3.26177890140198,3.66870069063034,0.00250511139028209,0.0150306683416925,0.0111231740200085,"107652/15277/22235/212032/14584/54342/227620/94181",8
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway","13/687","84/10644",0.154761904761905,2.39779579954252,3.37829492697158,0.00267569296082013,0.0157674763762615,0.0116684354682382,"18733/18035/232801/18019/17096/17060/108723/18036/12042/12675/19354/18033/18751",13
"Metabolism","Glycan biosynthesis and metabolism","mmu00520","Amino sugar and nucleotide sugar metabolism","8/687","39/10644",0.205128205128205,3.17814354495577,3.57939486362141,0.0029769774712393,0.0172351327282275,0.0127545479838877,"107652/15277/22235/212032/14584/54342/71884/227620",8
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","19/687","149/10644",0.12751677852349,1.97567480437267,3.15030896278659,0.00332206388720605,0.018901397978931,0.013987637419815,"16178/15894/20339/20293/21824/17969/19252/63873/20971/18791/22339/16176/16175/12675/29857/22166/16177/19354/18033",19
"Cellular Processes","Cell growth and death","mmu04218","Cellular senescence","22/687","183/10644",0.120218579234973,1.86260052019949,3.09168191527557,0.0034699005282627,0.0194079182089269,0.0143624785469571,"12575/17873/17869/16193/12427/13197/18787/15259/18019/12566/63873/17164/56484/26397/19046/16175/13557/29857/18033/14991/23882/54354",22
"Human Diseases","Endocrine and metabolic disease","mmu04936","Alcoholic liver disease","18/687","141/10644",0.127659574468085,1.97788720616928,3.07034928456592,0.00415115988942168,0.0228313793918192,0.016895949023611,"14825/16193/18035/20310/12273/56489/56484/12263/26397/21898/16176/16172/12675/29857/72674/625018/18033/13106",18
"Organismal Systems","Immune system","mmu04613","Neutrophil extracellular trap formation","24/687","209/10644",0.114832535885167,1.77915212803744,2.98810134878961,0.00422869729557672,0.0228765591400052,0.016929383478409,"246256/18602/14289/64008/14293/12273/17969/24088/12796/70315/12363/170744/21898/107435/20345/105675/56644/29857/14131/17972/19354/18033/18751/17523",24
"Environmental Information Processing","Signal transduction","mmu04350","TGF-beta signaling pathway","15/687","112/10644",0.133928571428571,2.07501559575795,3.00410077246661,0.00544460062688412,0.0289793259172864,0.021445625559204,"17869/12156/22042/224109/20482/68010/15216/209268/12163/21815/238057/17130/16323/269275/11479",15
"Human Diseases","Cancer: specific types","mmu05223","Non-small cell lung cancer","11/687","72/10644",0.152777777777778,2.36705482775352,3.05717113167073,0.0061156437001395,0.0320343241435879,0.0237064216947763,"12575/17873/13197/16574/21802/56484/13557/58231/18751/23882/54354",11
"Organismal Systems","Immune system","mmu04620","Toll-like receptor signaling pathway","14/687","104/10644",0.134615384615385,2.08565670137723,2.92236883448545,0.00680149447866285,0.0350702059056053,0.025953071037003,"16193/18035/24088/54123/26410/56489/26397/170744/21898/16176/12675/29857/18033/21897",14
"Human Diseases","Immune disease","mmu05340","Primary immunodeficiency","7/687","36/10644",0.194444444444444,3.01261523532266,3.17717690385749,0.00729539853588529,0.0370381771821869,0.0274094325558767,"12265/21354/22637/17060/16818/19264/21947",7
"Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection","17/687","138/10644",0.123188405797101,1.90861337890007,2.82192923163172,0.00750515559682298,0.0375257779841149,0.0277702727027581,"246256/15894/14289/94179/14293/12273/12796/12263/19204/20345/16664/15001/15000/12630/14131/17195/625018",17
"Cellular Processes","Cellular community - eukaryotes","mmu04540","Gap junction","12/687","86/10644",0.13953488372093,2.16187671371991,2.84161077255459,0.00890194009427709,0.0438453765837528,0.0324469772485826,"545486/67951/15559/22151/227613/14609/22145/14679/22146/104318/13489/18751",12
"Human Diseases","Cancer: specific types","mmu05212","Pancreatic cancer","11/687","76/10644",0.144736842105263,2.24247299471386,2.85524577750773,0.00918324699429261,0.0445657574723023,0.032980082084766,"12575/17873/13197/21802/22339/12675/13557/19354/64143/18033/23882",11
"Organismal Systems","Sensory system","mmu04750","Inflammatory mediator regulation of TRP channels","16/687","130/10644",0.123076923076923,1.90688612697346,2.7326662573697,0.00940516205329925,0.0449812098201268,0.0332875300742246,"16180/15559/63873/14063/26397/18442/19046/16176/18761/12323/16000/29857/16177/11419/12061/18751",16
"Environmental Information Processing","Signal transduction","mmu04014","Ras signaling pathway","25/687","237/10644",0.105485232067511,1.63433014574466,2.59401744814557,0.0103529432995487,0.0488067326978727,0.0361185390300047,"23872/19696/271457/16002/11352/233046/14707/22637/19417/21802/22339/54153/12675/16000/14695/19354/13640/64143/271849/19415/18033/58231/18751/14256/54354",25
