"Mouse_Symbol","Mouse_log2FC","Mouse_padj","Human_Symbol","Human_log2FC","Human_padj","Mouse_direction","Human_direction","concordance"
"Cd9",-0.279883008139341,6.09632950202396e-14,"CD9",0.9312890045953,2.48731597477048e-08,"Down","Up","Discordant"
"Mbp",0.309362962879349,1.0963497224448e-13,"MBP",1.69699863632153,0.000267523191204788,"Up","Up","Concordant"
"Klf9",-0.259636822319304,3.31619794133547e-13,"KLF9",1.64653591947783,3.91417121914828e-16,"Down","Up","Discordant"
"Ralgds",-0.217231107118012,6.01438052179846e-13,"RALGDS",0.800620882164364,0.000117416874076248,"Down","Up","Discordant"
"Sfpq",-0.119772946672765,1.18844215489223e-12,"SFPQ",0.615547768668322,0.000417455264524902,"Down","Up","Discordant"
"Mpz",-0.299336324210134,1.7351191575341e-12,"MPZ",1.71292998284678,0.00117146089740735,"Down","Up","Discordant"
"Col1a1",-0.218300074510664,2.30282551535219e-12,"COL1A1",-2.33093047101344,4.86690219674216e-12,"Down","Down","Concordant"
"Sptbn5",-0.228436934323384,7.17264592292248e-12,"SPTBN5",2.38514777172604,1.09154521488196e-06,"Down","Up","Discordant"
"Arid5b",-0.193155882981966,1.20594492171901e-11,"ARID5B",1.00233724445659,2.65653545696934e-09,"Down","Up","Discordant"
"Mapk8ip1",-0.199412276752728,1.26401125922953e-11,"MAPK8IP1",1.97162808296533,5.03540842940661e-05,"Down","Up","Discordant"
"Klf15",-0.17712237805897,1.61242004216718e-11,"KLF15",1.48401137805783,1.67269822736748e-05,"Down","Up","Discordant"
"Rhobtb3",-0.17587661388231,3.76758573242718e-11,"RHOBTB3",1.08101008964996,2.97101651403888e-06,"Down","Up","Discordant"
"Dag1",-0.230860326594272,4.41344059519757e-11,"DAG1",0.452299922636794,0.0319723226206573,"Down","Up","Discordant"
"Srsf6",-0.112491009980576,7.01237544620197e-11,"SRSF6",0.607447182868995,7.7281743493011e-05,"Down","Up","Discordant"
"Sema3g",-0.294957569108663,7.62542256815819e-11,"SEMA3G",-0.608545192438649,0.0381973899900013,"Down","Down","Concordant"
"Fa2h",-0.188609302284497,7.83988254014161e-11,"FA2H",1.3352567336003,0.00292691716258544,"Down","Up","Discordant"
"Arrb2",-0.139193292028553,8.86480093623572e-11,"ARRB2",1.73985888909546,0.000201212352501719,"Down","Up","Discordant"
"Atp1b3",-0.171757278007205,1.38081384142073e-10,"ATP1B3",2.31810166786389,2.10745120832055e-26,"Down","Up","Discordant"
"Ide",-0.149236961213908,1.59366606619147e-10,"IDE",-0.51913816266272,0.00350840144624801,"Down","Down","Concordant"
"Errfi1",-0.180494637732512,2.26007273833135e-10,"ERRFI1",2.47246134003074,2.32068104463967e-16,"Down","Up","Discordant"
"Cyb5r2",-0.197433630799332,2.77064007154752e-10,"CYB5R2",1.00695743795473,0.00352882719305511,"Down","Up","Discordant"
"Slc38a2",-0.154940217296422,4.1312757847171e-10,"SLC38A2",0.937377457359951,6.48296092327976e-11,"Down","Up","Discordant"
"Elovl1",-0.184387485959188,4.4439313067702e-10,"ELOVL1",0.709125826521035,0.000121144857753579,"Down","Up","Discordant"
"Bcl2l1",-0.142072385496056,6.13656940461785e-10,"BCL2L1",0.43555280611491,0.00566397624664395,"Down","Up","Discordant"
"Elovl7",-0.231979025954765,6.44041682022039e-10,"ELOVL7",0.918234349499559,0.00277138142783631,"Down","Up","Discordant"
"Jam3",-0.159446874101277,8.12282101658872e-10,"JAM3",0.457492352742025,0.00031177974466763,"Down","Up","Discordant"
