"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","42/693","368/10644",0.114130434782609,1.75296442687747,3.87928427191018,0.000252458159620488,0.00260347477108628,0.00191004528660237,"12985/12575/12986/17869/16193/20393/18413/26427/17210/13874/24088/16002/11839/104709/12566/14707/15370/231991/16196/53978/21802/22339/56484/16185/21898/16402/12675/16190/320207/12829/16000/14695/22628/16194/13640/67168/18033/18534/16780/78134/14256/12840",42
"Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway","24/693","171/10644",0.140350877192982,2.15569226095542,4.02040675254075,0.000287233580073142,0.00287233580073142,0.00210729580276946,"12985/12575/12986/17869/16193/216233/18413/12702/18712/17210/12983/56708/16196/16162/16878/58181/16185/15980/16190/16194/12803/12703/15979/16156",24
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection","28/693","214/10644",0.130841121495327,2.00962900028321,3.9372395079076,0.000308469448578565,0.00299396817738019,0.00219653167718483,"16193/12702/18035/20293/13063/20383/18636/24088/54123/21354/11796/78781/20382/56489/13665/15980/19046/16176/16402/12675/15001/15000/231805/50930/18033/15979/20815/14991",28
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades","16/693","94/10644",0.170212765957447,2.61435018881827,4.1485920529586,0.000338363834166215,0.00319028757928145,0.00234056186039788,"18793/21824/12273/18787/13136/14067/20704/12274/18788/18791/12263/12630/17195/625018/12061/18792",16
"Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis","12/693","60/10644",0.2,3.07186147186147,4.24694570942937,0.00040789460706585,0.00373903389810363,0.00274315086623233,"14825/16193/18035/20310/13063/24088/268973/15510/18034/21898/16176/18033",12
"Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection","31/693","253/10644",0.122529644268775,1.8819704669507,3.74671721976595,0.000483302509776527,0.00431053589800686,0.00316243463011668,"17869/16193/18035/13063/216799/11852/24088/271457/545486/67951/74192/11796/22151/268973/227613/22145/192656/16574/74568/12363/26397/21898/16176/12675/22146/29857/22166/19264/56212/18033/622434",31
"Environmental Information Processing","Signal transduction","mmu04066","HIF-1 signaling pathway","18/693","117/10644",0.153846153846154,2.36297036297036,3.91194118906776,0.000532841945309315,0.00462731163031773,0.00339483787870201,"12575/16193/18787/22042/170768/15277/22339/16828/212032/15980/21898/12323/15251/16000/16194/18033/15979/18751",18
"Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection","30/693","247/10644",0.121457489878543,1.8655029181345,3.63185311994788,0.000686140137474498,0.00580580116324575,0.00425943944990916,"12575/16178/15894/14283/17869/16193/12427/18035/26427/23872/22695/18019/12566/19698/231991/16818/18034/16185/19384/17702/12675/20375/15001/15000/13557/16177/18033/12502/14991/14534",30
"Human Diseases","Endocrine and metabolic disease","mmu04931","Insulin resistance","17/693","110/10644",0.154545454545455,2.3737111373475,3.82173341996214,0.000714565789206829,0.00589516776095634,0.0043250034609887,"16193/170826/12702/18035/26427/384783/231991/20111/244416/14584/19046/19246/11606/18761/18033/18534/18751",17
"Organismal Systems","Immune system","mmu04623","Cytosolic DNA-sensing pathway","14/693","82/10644",0.170731707317073,2.62232076866223,3.89166866798872,0.000757846131192431,0.00609973715350006,0.00447508626891551,"16193/54483/18035/216799/54123/74568/20016/56489/18036/16176/12675/18033/15951/383619",14
"Human Diseases","Endocrine and metabolic disease","mmu04930","Type II diabetes mellitus","10/693","48/10644",0.208333333333333,3.1998556998557,4.0309658905045,0.000874678387087117,0.00687247304139877,0.00504200574010117,"216233/12702/12290/15277/384783/212032/20927/16514/12703/378435",10
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B","22/693","164/10644",0.134146341463415,2.06039488966318,3.61138836101852,0.000943538857136855,0.00718893397832722,0.00527417803832619,"12575/17869/16193/12427/18035/26427/13063/24088/54123/18019/12566/231991/13205/13655/56489/26397/21898/12675/13557/29857/18033/18751",22
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease","16/693","103/10644",0.155339805825243,2.38591182280503,3.7297402778538,0.00095852453044363,0.00718893397832722,0.00527417803832619,"16193/18035/20293/18787/24088/11421/15980/21898/14679/16176/12675/29857/18033/12503/15979/12502",16
"Organismal Systems","Immune system","mmu04666","Fc gamma R-mediated phagocytosis","15/693","94/10644",0.159574468085106,2.45095330201713,3.72869119702498,0.00103120585261419,0.00756217625250403,0.00554800809593597,"246256/17969/74192/17096/17357/22323/15162/22376/20698/230837/16886/14131/19354/19264/18751",15
