"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","41/692","368/10644",0.111413043478261,1.71370005026389,3.67415508258738,0.000477705561060941,0.00477705561060941,0.00353517353002036,"12985/12575/12986/17869/16193/20393/18413/26427/17210/13874/24088/16002/11839/104709/12566/14707/15370/231991/16196/53978/21802/22339/16185/21898/16402/12675/16190/320207/12829/16000/14695/22628/16194/13640/67168/18033/18534/16780/78134/14256/12840",41
"Human Diseases","Cancer: specific types","mmu05215","Prostate cancer","17/692","107/10644",0.158878504672897,2.4437901788126,3.95792332625589,0.000507307850048326,0.00492387030929257,0.00364382109013039,"12575/16178/26427/18095/17392/12566/231991/21802/18791/20509/12675/52466/13557/16000/18033/23920/18792",17
"Environmental Information Processing","Signal transduction","mmu04066","HIF-1 signaling pathway","18/692","117/10644",0.153846153846154,2.36638506002668,3.91871445468933,0.000523795175208459,0.00493864022339404,0.00365475129769511,"12575/16193/18787/22042/170768/15277/22339/16828/212032/15980/21898/12323/15251/16000/16194/18033/15979/18751",18
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection","27/692","214/10644",0.126168224299065,1.94065690670412,3.66543798136529,0.000682796483516572,0.00614578489613731,0.00454807686093734,"16193/12702/20293/13063/20383/18636/24088/54123/21354/11796/78781/20382/56489/13665/15980/19046/16176/16402/12675/15001/15000/231805/50930/18033/15979/20815/14991",27
"Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway","23/692","171/10644",0.134502923976608,2.06885711388297,3.71545538027954,0.000689072851991153,0.00614578489613731,0.00454807686093734,"12985/12575/12986/17869/16193/216233/18413/12702/18712/17210/12983/56708/16196/16162/16878/58181/16185/15980/16190/16194/12703/15979/16156",23
"Human Diseases","Endocrine and metabolic disease","mmu04930","Type II diabetes mellitus","10/692","48/10644",0.208333333333333,3.20447976878613,4.03632061499934,0.000864969511291497,0.00751157733489984,0.00555880683156862,"216233/12702/12290/15277/384783/212032/20927/16514/12703/378435",10
"Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection","30/692","253/10644",0.118577075098814,1.82389362334072,3.49729787806115,0.000993818442495443,0.00838372649505851,0.00620422502983596,"17869/16193/13063/216799/11852/24088/271457/545486/67951/74192/11796/22151/268973/227613/22145/192656/16574/74568/12363/26397/21898/16176/12675/22146/29857/22166/19264/56212/18033/622434",30
"Organismal Systems","Immune system","mmu04666","Fc gamma R-mediated phagocytosis","15/692","94/10644",0.159574468085106,2.45449514204895,3.73490763996967,0.0010162092721283,0.00838372649505851,0.00620422502983596,"246256/17969/74192/17096/17357/22323/15162/22376/20698/230837/16886/14131/19354/19264/18751",15
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis","13/692","77/10644",0.168831168831169,2.59687711132798,3.70826617318203,0.00127098146179623,0.0102298507900672,0.00757041589567973,"16193/216799/16362/12263/21898/14679/16176/16175/16402/20311/29857/625018/18033",13
"Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection","29/692","247/10644",0.117408906882591,1.80592544054668,3.37924137955592,0.001398636021991,0.0109892830299293,0.00813241997749155,"12575/16178/15894/14283/17869/16193/12427/26427/23872/22695/18019/12566/19698/231991/16818/18034/16185/19384/17702/12675/20375/15001/15000/13557/16177/18033/12502/14991/14534",29
