"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Endocrine system","mmu04920","Adipocytokine signaling pathway","11/663","72/10644",0.152777777777778,2.45274007038713,3.18769935195904,0.00469424609124329,0.0271608360251304,0.0202731599039251,"12702/14081/384783/18036/12675/50790/18761/72674/18033/18534/21938",11
"Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway","20/663","171/10644",0.116959064327485,1.87769574766479,2.98200429865975,0.00477372269532595,0.0271608360251304,0.0202731599039251,"12985/12986/17869/16193/216233/18413/12702/18712/12983/56708/16196/16162/16878/58181/16185/15980/16190/12703/15979/16156",20
"Human Diseases","Infectious disease: bacterial","mmu05150","Staphylococcus aureus infection","17/663","138/10644",0.123188405797101,1.97770345596433,2.97940651280224,0.00530824531018379,0.0296901856332314,0.0221610954965746,"246256/15894/14289/94179/14293/12273/12796/12263/19204/20345/16664/15001/15000/12630/14131/17195/625018",17
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway","12/663","84/10644",0.142857142857143,2.29347123464771,3.06737042837536,0.00560935841048309,0.030851471257657,0.0230278924219832,"18733/232801/18019/17096/17060/108723/18036/12042/12675/19354/18033/18751",12
"Human Diseases","Immune disease","mmu05340","Primary immunodeficiency","7/663","36/10644",0.194444444444444,3.12166918049271,3.28635087594804,0.00602530519070626,0.0325959133267716,0.024329964014241,"12265/21354/22637/17060/16818/19264/21947",7
"Environmental Information Processing","Signal transduction","mmu04014","Ras signaling pathway","25/663","237/10644",0.105485232067511,1.69349141798881,2.78262225494349,0.0067405174807296,0.0349802585680819,0.0261096666823961,"23872/19696/271457/16002/11352/233046/14707/22637/19417/21802/22339/54153/12675/16000/14695/19354/13640/64143/271849/19415/18033/58231/18751/14256/54354",25
"Cellular Processes","Cellular community - eukaryotes","mmu04540","Gap junction","12/663","86/10644",0.13953488372093,2.24013469430706,2.97597324109848,0.00677996521068724,0.0349802585680819,0.0261096666823961,"545486/67951/15559/22151/227613/14609/22145/14679/22146/104318/13489/18751",12
"Organismal Systems","Sensory system","mmu04750","Inflammatory mediator regulation of TRP channels","16/663","130/10644",0.123076923076923,1.9759136790811,2.88536568625933,0.0067840501465371,0.0349802585680819,0.0261096666823961,"16180/15559/63873/14063/26397/18442/19046/16176/18761/12323/16000/29857/16177/11419/12061/18751",16
"Organismal Systems","Development and regeneration","mmu04360","Axon guidance","20/663","181/10644",0.110497237569061,1.77395565110872,2.70663078966942,0.0088965902443596,0.0451673043175179,0.0337133946102048,"223881/117606/270190/237860/18019/54712/171171/12767/20351/56513/58220/11854/13845/14679/20352/16886/238057/12323/19354/13640",20
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","26/663","256/10644",0.1015625,1.63051470588235,2.63178859168418,0.00936942570178253,0.0462482934214265,0.0345202572906342,"12765/17869/16193/19225/20293/12771/26427/13063/21354/18019/14707/12767/231991/22339/14679/16176/12675/13557/14695/29857/16177/14674/19354/18033/14991/18751",26
"Environmental Information Processing","Signal transduction","mmu04390","Hippo signaling pathway","18/663","158/10644",0.113924050632911,1.82897073142792,2.70560617474916,0.0093898050279866,0.0462482934214265,0.0345202572906342,"17869/12156/18787/11796/11839/209456/13385/14633/56513/21679/58220/19046/12163/216033/238057/22628/22415/104318",18
"Human Diseases","Substance dependence","mmu05031","Amphetamine addiction","10/663","69/10644",0.144927536231884,2.32670994819332,2.84945701898202,0.00995156319995335,0.0477945402188768,0.0356743936561951,"11838/26427/14814/231991/214084/14800/19046/12323/14282/18751",10
"Cellular Processes","Cell growth and death","mmu04218","Cellular senescence","20/663","183/10644",0.109289617486339,1.75456815765398,2.65362277296627,0.00999340386394697,0.0477945402188768,0.0356743936561951,"17873/17869/16193/12427/13197/18787/15259/18019/12566/63873/17164/26397/19046/16175/13557/29857/18033/14991/23882/54354",20
