"gene","STRING_id"
"Diaph2","10090.ENSMUSP00000039334"
"Dip2a","10090.ENSMUSP00000043710"
"Dkk3","10090.ENSMUSP00000033036"
"Dnaaf5","10090.ENSMUSP00000026975"
"Dnajb12","10090.ENSMUSP00000122056"
"Dnajb2","10090.ENSMUSP00000140566"
"Dnajc17","10090.ENSMUSP00000041841"
"Dnajc21","10090.ENSMUSP00000116865"
"Dnajc3","10090.ENSMUSP00000022734"
"Dnm1l","10090.ENSMUSP00000155155"
"Dock7","10090.ENSMUSP00000030286"
"Dpysl2","10090.ENSMUSP00000022629"
"Drg1","10090.ENSMUSP00000020741"
"Dstn","10090.ENSMUSP00000099461"
"Dtna","10090.ENSMUSP00000111498"
"Dtx2","10090.ENSMUSP00000106772"
"Dtx4","10090.ENSMUSP00000040229"
"Dtymk","10090.ENSMUSP00000027503"
"Dus3l","10090.ENSMUSP00000007747"
"Dusp15","10090.ENSMUSP00000123090"
"Dusp6","10090.ENSMUSP00000020118"
"Dync1h1","10090.ENSMUSP00000018851"
"Eci2","10090.ENSMUSP00000131735"
"Ecscr","10090.ENSMUSP00000095223"
"Edf1","10090.ENSMUSP00000015236"
"Eef1akmt2","10090.ENSMUSP00000033257"
"Efr3b","10090.ENSMUSP00000106809"
"Egln1","10090.ENSMUSP00000034469"
"Egr1","10090.ENSMUSP00000069616"
"Ehd4","10090.ENSMUSP00000028755"
"Eif4g1","10090.ENSMUSP00000111120"
"Eif4h","10090.ENSMUSP00000143910"
"Ell","10090.ENSMUSP00000091163"
"Elovl1","10090.ENSMUSP00000006557"
"Elovl7","10090.ENSMUSP00000022207"
"Eml1","10090.ENSMUSP00000105486"
"Emp2","10090.ENSMUSP00000077466"
"Eno2","10090.ENSMUSP00000004378"
"Enpp2","10090.ENSMUSP00000128941"
"Entr1","10090.ENSMUSP00000109737"
"Epb41l2","10090.ENSMUSP00000055122"
"Epb41l4b","10090.ENSMUSP00000030142"
"Epha6","10090.ENSMUSP00000066734"
"Ephb6","10090.ENSMUSP00000110380"
"Erc1","10090.ENSMUSP00000139031"
"Ercc1","10090.ENSMUSP00000003645"
"Ercc3","10090.ENSMUSP00000025241"
"Errfi1","10090.ENSMUSP00000030811"
"Esyt1","10090.ENSMUSP00000026427"
"Etnppl","10090.ENSMUSP00000072121"
"Evi5","10090.ENSMUSP00000108261"
"Exoc8","10090.ENSMUSP00000095915"
"Eya4","10090.ENSMUSP00000090335"
"Fa2h","10090.ENSMUSP00000043597"
"Fam102a","10090.ENSMUSP00000044731"
"Fam129b","10090.ENSMUSP00000028135"
"Fam168a","10090.ENSMUSP00000038233"
"Fam57a","10090.ENSMUSP00000091553"
"Fam76b","10090.ENSMUSP00000062642"
"Fasn","10090.ENSMUSP00000052872"
"Fat1","10090.ENSMUSP00000140596"
"Fbln5","10090.ENSMUSP00000021603"
"Fbxl6","10090.ENSMUSP00000023219"
"Fbxo25","10090.ENSMUSP00000147467"
"Fbxo27","10090.ENSMUSP00000103916"
"Fdft1","10090.ENSMUSP00000153671"
"Fdps","10090.ENSMUSP00000142770"
"Fgf1","10090.ENSMUSP00000045710"
"Filip1","10090.ENSMUSP00000091329"
"Fkbp3","10090.ENSMUSP00000021332"
"Flna","10090.ENSMUSP00000109938"
"Flnb","10090.ENSMUSP00000052020"
"Flywch1","10090.ENSMUSP00000040022"
"Fnbp1","10090.ENSMUSP00000109190"
"Fndc1","10090.ENSMUSP00000095036"
"Fntb","10090.ENSMUSP00000035498"
"Fos","10090.ENSMUSP00000021674"
"Foxj3","10090.ENSMUSP00000035746"
"Foxk2","10090.ENSMUSP00000101719"
"Frmd3","10090.ENSMUSP00000081514"
"Fsd1l","10090.ENSMUSP00000114931"
"Fxyd1","10090.ENSMUSP00000048460"
"Fxyd3","10090.ENSMUSP00000130245"
"G3bp2","10090.ENSMUSP00000128353"
"Gabarapl1","10090.ENSMUSP00000032264"
"Galnt1","10090.ENSMUSP00000132142"
"Gan","10090.ENSMUSP00000070168"
"Gas2l3","10090.ENSMUSP00000096973"
"Gatad2b","10090.ENSMUSP00000142514"
"Gcn1","10090.ENSMUSP00000069432"
"Gdpd3","10090.ENSMUSP00000032944"
"Gfra1","10090.ENSMUSP00000026076"
"Gkap1","10090.ENSMUSP00000089169"
"Gldn","10090.ENSMUSP00000056080"
"Glod4","10090.ENSMUSP00000017430"
"Gls","10090.ENSMUSP00000110158"
"Glyr1","10090.ENSMUSP00000111510"
"Gnai1","10090.ENSMUSP00000074259"
"Gng2","10090.ENSMUSP00000125697"
"Gnl2","10090.ENSMUSP00000030684"
"Gnl3","10090.ENSMUSP00000047119"
"Gon4l","10090.ENSMUSP00000103122"
"Gopc","10090.ENSMUSP00000020008"
"Gpbp1l1","10090.ENSMUSP00000030460"
"Gpcpd1","10090.ENSMUSP00000105769"
"Gpr89","10090.ENSMUSP00000029738"
"Gpt","10090.ENSMUSP00000023203"
"Gpt2","10090.ENSMUSP00000034136"
"Grb14","10090.ENSMUSP00000028252"
"Gria3","10090.ENSMUSP00000075687"
"Grk4","10090.ENSMUSP00000001112"
"Gsn","10090.ENSMUSP00000028239"
"Gtdc1","10090.ENSMUSP00000108429"
"Gtpbp2","10090.ENSMUSP00000024748"
"Gulp1","10090.ENSMUSP00000074115"
"H2-DMa","10090.ENSMUSP00000037088"
"Hacl1","10090.ENSMUSP00000022437"
"Hccs","10090.ENSMUSP00000107743"
"Hdac10","10090.ENSMUSP00000080832"
"Hdac7","10090.ENSMUSP00000112110"
"Hdgfl3","10090.ENSMUSP00000102926"
"Hdlbp","10090.ENSMUSP00000127903"
"Hectd4","10090.ENSMUSP00000048345"
"Herc1","10090.ENSMUSP00000044801"
"Herpud1","10090.ENSMUSP00000124201"
"Hid1","10090.ENSMUSP00000102152"
"Hjurp","10090.ENSMUSP00000054263"
"Hmg20b","10090.ENSMUSP00000020454"
"Hmgcr","10090.ENSMUSP00000022176"
"Hmgcs1","10090.ENSMUSP00000153064"
"Hmgcs2","10090.ENSMUSP00000088249"
"Hmgn3","10090.ENSMUSP00000124278"
"Hnrnph3","10090.ENSMUSP00000020263"
"Hnrnpm","10090.ENSMUSP00000120115"
"Hnrnpul1","10090.ENSMUSP00000146263"
"Hnrnpul2","10090.ENSMUSP00000094515"
"Homer3","10090.ENSMUSP00000105751"
"Hpf1","10090.ENSMUSP00000047235"
"Hsd17b14","10090.ENSMUSP00000103381"
"Hsp90aa1","10090.ENSMUSP00000091921"
"Hspa1b","10090.ENSMUSP00000133815"
"Hspg2","10090.ENSMUSP00000131316"
"Htt","10090.ENSMUSP00000078945"
"Huwe1","10090.ENSMUSP00000026292"
"Ick","10090.ENSMUSP00000048234"
"Id3","10090.ENSMUSP00000008016"
"Ide","10090.ENSMUSP00000121358"
"Idnk","10090.ENSMUSP00000060218"
"Ifit3","10090.ENSMUSP00000099889"
"Ifnar1","10090.ENSMUSP00000023689"
"Ifrd1","10090.ENSMUSP00000001672"
"Ift172","10090.ENSMUSP00000049335"
"Ift74","10090.ENSMUSP00000030311"
"Igf1r","10090.ENSMUSP00000005671"
"Il17rb","10090.ENSMUSP00000016110"
"Insc","10090.ENSMUSP00000129505"
"Insig1","10090.ENSMUSP00000061877"
"Ints10","10090.ENSMUSP00000105871"
"Ip6k2","10090.ENSMUSP00000082091"
"Ipo4","10090.ENSMUSP00000036555"
"Iqgap1","10090.ENSMUSP00000128278"
"Iqgap2","10090.ENSMUSP00000067685"
"Irak1","10090.ENSMUSP00000033769"
"Itga2b","10090.ENSMUSP00000099375"
"Itga3","10090.ENSMUSP00000113556"
"Itga6","10090.ENSMUSP00000107729"
"Itga7","10090.ENSMUSP00000096712"
"Itgav","10090.ENSMUSP00000028499"
"Itih5","10090.ENSMUSP00000026886"
"Itsn1","10090.ENSMUSP00000109635"
"Jak2","10090.ENSMUSP00000064394"
"Jakmip2","10090.ENSMUSP00000080881"
"Jam3","10090.ENSMUSP00000034472"
"Jdp2","10090.ENSMUSP00000136823"
"Jmjd6","10090.ENSMUSP00000047570"
"Junb","10090.ENSMUSP00000064680"
"Kansl3","10090.ENSMUSP00000140597"
"Kat2a","10090.ENSMUSP00000099407"
"Kcna1","10090.ENSMUSP00000055225"
"Kcnh8","10090.ENSMUSP00000049206"
"Kcnk1","10090.ENSMUSP00000046103"
"Kctd18","10090.ENSMUSP00000110052"
"Kctd5","10090.ENSMUSP00000017090"
"Kdm5c","10090.ENSMUSP00000108207"
"Kdm7a","10090.ENSMUSP00000002305"
