"gene","p_val","avg_log2fc","pct.1","pct.2","p_val_adj"
"Dctn1",0.00894678313119287,0.0324754829547349,0.235,0.199,1
"Ddit4",0.00589121847296307,0.0794090881971288,0.136,0.107,1
"Ddx39b",0.00488768036708668,0.110158562134751,0.187,0.154,1
"Ddx3y",0.00340442365960538,-0.44433816313439,0.08,0.122,1
"Ddx46",0.00310613590249104,0.0560767538224212,0.226,0.185,1
"Dek",0.00646053347101596,0.0241537586368568,0.103,0.078,1
"Dennd5a",0.00676224521479617,0.0458491021009537,0.141,0.113,1
"Dgcr6",0.00913044394624521,-0.0983363446225552,0.169,0.228,1
"Dgcr8",0.00425713580460855,0.177066526125979,0.209,0.148,1
"Dhcr24",0.00066076944797397,0.156966963456606,0.204,0.164,1
"Dhx16",0.00550641497485143,0.116784425235475,0.149,0.097,1
"Dhx38",0.000213831613154269,0.175300253259965,0.122,0.088,1
"Dhx9",0.00535474282116599,0.0833116670244411,0.176,0.144,1
"Diaph2",1.76343174131197e-05,0.0917602144519574,0.305,0.238,0.264867447545058
"Dip2a",0.00626437652849602,0.0956157553697723,0.144,0.116,1
"Dkk3",0.000536069297105226,0.129701010561542,0.27,0.221,1
"Dnaaf5",0.00647425482112147,-0.123802616383107,0.072,0.117,1
"Dnajb12",0.000309841037281704,0.106687484650606,0.294,0.241,1
"Dnajb2",0.00693848223121338,0.0632441912883557,0.223,0.187,1
"Dnajc17",0.00109636401393916,0.107259093756167,0.13,0.098,1
"Dnajc21",0.00256378666609082,0.1349916293057,0.104,0.078,1
"Dnajc3",0.00556759641101649,0.133329185757319,0.112,0.087,1
"Dnm1l",0.00543001192860699,0.150233349592973,0.167,0.138,1
"Dock7",0.000273562412956554,0.132634588804946,0.404,0.343,1
"Dpysl2",0.00700692206205471,0.0404695103775852,0.191,0.157,1
"Drg1",0.00358563643827792,0.0388280617793151,0.147,0.116,1
"Dstn",2.12765253755322e-05,-0.320380906492209,0.234,0.337,0.319573411140493
