"Annot","Term","Annotated","Significant","RichFactor","FoldEnrichment","zscore","Pvalue","Padj","GeneID","neg_log10_padj"
"GO:0090128","regulation of synapse maturation",32,2,0.0625,13.8015267175573,4.88687931807807,0.00923586417430858,0.0988757233898922,"Rock1,Disc1",1.00491032611789
"GO:1902099","regulation of metaphase/anaphase transition of cell cycle",96,3,0.03125,6.90076335877863,3.90589129773408,0.00954623542081842,0.101757931877948,"Zw10,Mad2l1,Spdl1",0.992431728180746
"GO:0071214","cellular response to abiotic stimulus",398,6,0.0150753768844221,3.32901146956155,3.15555678577972,0.00968588089686594,0.101858538761296,"Nucks1,Pcna,Tspyl5,Habp4,N4bp1,Zmpste24",0.992002558401915
"GO:0104004","cellular response to environmental stimulus",398,6,0.0150753768844221,3.32901146956155,3.15555678577972,0.00968588089686594,0.101858538761296,"Nucks1,Pcna,Tspyl5,Habp4,N4bp1,Zmpste24",0.992002558401915
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",33,2,0.0606060606060606,13.383298635207,4.80060186424054,0.00980280316424931,0.101858538761296,"Wdr46,Nop9",0.992002558401915
"GO:0060964","regulation of miRNA-mediated gene silencing",33,2,0.0606060606060606,13.383298635207,4.80060186424054,0.00980280316424931,0.101858538761296,"Tial1,Zmpste24",0.992002558401915
"GO:0180046","GPI anchored protein biosynthesis",33,2,0.0606060606060606,13.383298635207,4.80060186424054,0.00980280316424931,0.101858538761296,"Pigk,Pigu",0.992002558401915
"GO:0007091","metaphase/anaphase transition of mitotic cell cycle",98,3,0.0306122448979592,6.75993145349743,3.8523146668446,0.0100959201871264,0.104465316413237,"Zw10,Mad2l1,Spdl1",0.981027875970023
"GO:0044784","metaphase/anaphase transition of cell cycle",101,3,0.0297029702970297,6.55914141032424,3.77469970152695,0.0109543564219746,0.111303800001277,"Zw10,Mad2l1,Spdl1",0.953490008249175
"GO:0016242","negative regulation of macroautophagy",35,2,0.0571428571428571,12.6185387131952,4.6387710189839,0.010981854913187,0.111303800001277,"Mtm1,Tmem39a",0.953490008249175
"GO:1900368","regulation of post-transcriptional gene silencing by regulatory ncRNA",35,2,0.0571428571428571,12.6185387131952,4.6387710189839,0.010981854913187,0.111303800001277,"Tial1,Zmpste24",0.953490008249175
"GO:0051310","metaphase chromosome alignment",102,3,0.0294117647058824,6.49483610237988,3.74952591993135,0.0112495963314614,0.113090454177659,"Zw10,Spdl1,Gem",0.946574051775955
"GO:2001251","negative regulation of chromosome organization",102,3,0.0294117647058824,6.49483610237988,3.74952591993135,0.0112495963314614,0.113090454177659,"Zw10,Mad2l1,Spdl1",0.946574051775955
"GO:0022616","DNA strand elongation",36,2,0.0555555555555556,12.2680237489398,4.56272110401849,0.0115936761130417,0.11514522501025,"Nucks1,Pcna",0.93875406720646
"GO:0060008","Sertoli cell differentiation",36,2,0.0555555555555556,12.2680237489398,4.56272110401849,0.0115936761130417,0.11514522501025,"Arid4b,Fndc3a",0.93875406720646
"GO:0060147","regulation of post-transcriptional gene silencing",36,2,0.0555555555555556,12.2680237489398,4.56272110401849,0.0115936761130417,0.11514522501025,"Tial1,Zmpste24",0.93875406720646
"GO:0036297","interstrand cross-link repair",37,2,0.0540540540540541,11.936455539509,4.48962315347501,0.0122201681465964,0.117767832815715,"Nucks1,Rfwd3",0.928973316835433
"GO:0060966","regulation of gene silencing by regulatory ncRNA",37,2,0.0540540540540541,11.936455539509,4.48962315347501,0.0122201681465964,0.117767832815715,"Tial1,Zmpste24",0.928973316835433
"GO:0061136","regulation of proteasomal protein catabolic process",196,4,0.0204081632653061,4.50662096899829,3.32236738474231,0.0122858925835416,0.117767832815715,"Rchy1,Mtm1,N4bp1,Nfe2l1",0.928973316835433
"GO:0006352","DNA-templated transcription initiation",198,4,0.0202020202020202,4.46109954506901,3.29604092036211,0.0127115916769989,0.117767832815715,"Atad2b,Lcor,Zmpste24,Tfb2m",0.928973316835433
"GO:1902806","regulation of cell cycle G1/S phase transition",198,4,0.0202020202020202,4.46109954506901,3.29604092036211,0.0127115916769989,0.117767832815715,"Ccl12,Rbl1,Id2,Rfwd3",0.928973316835433
"GO:0033260","nuclear DNA replication",38,2,0.0526315789473684,11.6223382884693,4.41928365576305,0.0128611877097405,0.117767832815715,"Pcna,Zmpste24",0.928973316835433
"GO:0033045","regulation of sister chromatid segregation",109,3,0.0275229357798165,6.077736536172,3.58226476330302,0.0134447813955886,0.117767832815715,"Zw10,Mad2l1,Spdl1",0.928973316835433
"GO:0030488","tRNA methylation",39,2,0.0512820512820513,11.324329614406,4.35152650226346,0.0135165924779782,0.117767832815715,"Ftsj1,Nsun2",0.928973316835433
"GO:0022411","cellular component disassembly",433,6,0.0138568129330254,3.05992278264549,2.91289131632425,0.0141943959709516,0.122736857469103,"Rchy1,Vrk1,Atad2b,Fscn1,Tmem39a,Zmpste24",0.911025000502141
"GO:0051101","regulation of DNA binding",112,3,0.0267857142857143,5.91494002181025,3.51499011829843,0.0144549651988971,0.124554456226037,"Habp4,Id2,Zmpste24",0.904640729951985
"GO:0032259","methylation",208,4,0.0192307692307692,4.24662360540223,3.16945882463578,0.0149813220974989,0.128641699816371,"Ftsj1,Nsun2,Slc25a26,Tfb2m",0.890618229976276
"GO:0040029","epigenetic regulation of gene expression",319,5,0.0156739811912226,3.46119792289837,2.981290285794,0.0152430408799706,0.129986345159198,"Arid4b,Trim37,Atad2b,Lcor,Zmpste24",0.886102267181474
"GO:0032435","negative regulation of proteasomal ubiquitin-dependent protein catabolic process",42,2,0.0476190476190476,10.5154489276627,4.16220960198189,0.0155677093404799,0.131845702736325,"Mtm1,N4bp1",0.879934020654885
"GO:2000677","regulation of transcription regulatory region DNA binding",42,2,0.0476190476190476,10.5154489276627,4.16220960198189,0.0155677093404799,0.131845702736325,"Id2,Zmpste24",0.879934020654885
