"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04151","PI3K-Akt signaling pathway","41/682","368/10644",0.111413043478261,1.7388276169833,3.77403507443008,0.000354854521444162,0.00354854521444162,0.00262603664992171,"12985/12575/12986/17869/16193/18413/26427/17210/13874/24088/16002/11839/104709/12566/14707/15370/231991/16196/53978/21802/22339/56484/16185/21898/16402/12675/16190/320207/12829/16000/14695/22628/16194/13640/67168/18033/18534/16780/78134/14256/12840",41
"Human Diseases","Cancer: specific types","mmu05215","Prostate cancer","17/682","107/10644",0.158878504672897,2.4796228793817,4.02471735737378,0.000429232898979006,0.00415242126633304,0.00307292419071536,"12575/16178/26427/18095/17392/12566/231991/21802/18791/20509/12675/52466/13557/16000/18033/23920/18792",17
"Environmental Information Processing","Signal transduction","mmu04066","HIF-1 signaling pathway","18/682","117/10644",0.153846153846154,2.40108278817956,3.98708383080127,0.000440408316126232,0.00415242126633304,0.00307292419071536,"12575/16193/18787/22042/170768/15277/22339/16828/212032/15980/21898/12323/15251/16000/16194/18033/15979/18751",18
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection","27/682","214/10644",0.126168224299065,1.96911228656782,3.74705253268536,0.000546261652189855,0.005007398478407,0.00370563459965048,"16193/12702/20293/13063/20383/18636/24088/54123/21354/11796/78781/20382/56489/13665/15980/19046/16176/16402/12675/15001/15000/231805/50930/18033/15979/20815/14991",27
"Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway","23/682","171/10644",0.134502923976608,2.09919226218038,3.79129096251577,0.000563608110176589,0.00502677503671012,0.00371997387086682,"12985/12575/12986/17869/16193/216233/18413/12702/18712/17210/12983/56708/16196/16162/16878/58181/16185/15980/16190/16194/12703/15979/16156",23
"Human Diseases","Endocrine and metabolic disease","mmu04930","Type II diabetes mellitus","10/682","48/10644",0.208333333333333,3.25146627565982,4.09040244866702,0.000772700871685672,0.00665851079130695,0.00492751037825586,"216233/12702/12290/15277/384783/212032/20927/16514/12703/378435",10
"Human Diseases","Infectious disease: bacterial","mmu05132","Salmonella infection","30/682","253/10644",0.118577075098814,1.85063693160085,3.58283470364534,0.000786914911699912,0.00665851079130695,0.00492751037825586,"17869/16193/13063/216799/11852/24088/271457/545486/67951/74192/11796/22151/268973/227613/22145/192656/16574/74568/12363/26397/21898/16176/12675/22146/29857/22166/19264/56212/18033/622434",30
"Organismal Systems","Immune system","mmu04666","Fc gamma R-mediated phagocytosis","15/682","94/10644",0.159574468085106,2.49048480688838,3.79766104819792,0.000876162515870905,0.00722834075593497,0.005349202728475,"246256/17969/74192/17096/17357/22323/15162/22376/20698/230837/16886/14131/19354/19264/18751",15
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis","13/682","77/10644",0.168831168831169,2.63495448832692,3.76726461542115,0.00111273282609213,0.00878764721846525,0.00650313924939055,"16193/216799/16362/12263/21898/14679/16176/16175/16402/20311/29857/625018/18033",13
"Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection","29/682","247/10644",0.117408906882591,1.83240528571598,3.46322121837568,0.00111842782780467,0.00878764721846525,0.00650313924939055,"12575/16178/15894/14283/17869/16193/12427/26427/23872/22695/18019/12566/19698/231991/16818/18034/16185/19384/17702/12675/20375/15001/15000/13557/16177/18033/12502/14991/14534",29
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","20/682","149/10644",0.134228187919463,2.09490444606271,3.52151126303835,0.00129370038391278,0.00992839829514462,0.00734733143372744,"16178/15894/20339/20293/21824/17969/17970/19252/63873/20971/18791/22339/16176/16175/12675/29857/22166/16177/19354/18033",20
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis","16/682","108/10644",0.148148148148148,2.31215379602476,3.58599506575693,0.00135945983983281,0.0101959487987461,0.00754532734069884,"14825/16178/16193/11846/20723/11847/20310/24088/271457/21898/16176/12829/16177/18033/16780/18751",16
