"gene","STRING_id"
"Spg11","10090.ENSMUSP00000037543"
"Ssr2","10090.ENSMUSP00000045456"
"Rims1","10090.ENSMUSP00000095420"
"Suco","10090.ENSMUSP00000044815"
"Pcdhga12","10090.ENSMUSP00000036359"
"Lrch4","10090.ENSMUSP00000031734"
"Lox","10090.ENSMUSP00000025409"
"Afap1","10090.ENSMUSP00000067779"
"Acyp2","10090.ENSMUSP00000074195"
"Insig1","10090.ENSMUSP00000061877"
"Metrnl","10090.ENSMUSP00000038126"
"Mt3","10090.ENSMUSP00000034211"
"Ptpn3","10090.ENSMUSP00000075063"
"S100a6","10090.ENSMUSP00000001051"
"Nxf1","10090.ENSMUSP00000010241"
"Il17rb","10090.ENSMUSP00000016110"
"Cadm4","10090.ENSMUSP00000066880"
"Timp2","10090.ENSMUSP00000017610"
"Lctl","10090.ENSMUSP00000034969"
"Gulp1","10090.ENSMUSP00000074115"
"Rmdn2","10090.ENSMUSP00000153443"
"Tiam1","10090.ENSMUSP00000002588"
"Serinc1","10090.ENSMUSP00000020027"
"Pten","10090.ENSMUSP00000013807"
"Zdhhc2","10090.ENSMUSP00000041727"
"Clock","10090.ENSMUSP00000143939"
"Atp2a2","10090.ENSMUSP00000031423"
"Anp32e","10090.ENSMUSP00000128483"
"Fndc1","10090.ENSMUSP00000095036"
"Ubr3","10090.ENSMUSP00000060159"
"Rbms1","10090.ENSMUSP00000131306"
"Sirt7","10090.ENSMUSP00000079093"
"Chm","10090.ENSMUSP00000026607"
"Ccdc84","10090.ENSMUSP00000053216"
"Ddx46","10090.ENSMUSP00000133245"
"Herpud1","10090.ENSMUSP00000124201"
"Esyt1","10090.ENSMUSP00000026427"
"Zcwpw1","10090.ENSMUSP00000048730"
"Zfp335","10090.ENSMUSP00000038298"
"Nes","10090.ENSMUSP00000088493"
"Clip4","10090.ENSMUSP00000024854"
"Tnks1bp1","10090.ENSMUSP00000107232"
"Tbc1d10a","10090.ENSMUSP00000136453"
"Cacnb3","10090.ENSMUSP00000155514"
"Pnrc2","10090.ENSMUSP00000030436"
"Wdfy2","10090.ENSMUSP00000014691"
"Fam168a","10090.ENSMUSP00000038233"
"Mdm4","10090.ENSMUSP00000068661"
"Elovl7","10090.ENSMUSP00000022207"
"Acads","10090.ENSMUSP00000031524"
"Ranbp9","10090.ENSMUSP00000130636"
"Tmc4","10090.ENSMUSP00000043853"
"Snx1","10090.ENSMUSP00000034946"
"Utp14b","10090.ENSMUSP00000052149"
"Lrp5","10090.ENSMUSP00000025856"
"Wdr82","10090.ENSMUSP00000020490"
"Clmn","10090.ENSMUSP00000105563"
"Arhgap17","10090.ENSMUSP00000102050"
"Trpc4ap","10090.ENSMUSP00000037574"
"Sirt2","10090.ENSMUSP00000072732"
"Rc3h1","10090.ENSMUSP00000124871"
"Ppfibp1","10090.ENSMUSP00000107250"
"Ubr5","10090.ENSMUSP00000154293"
"Cd55","10090.ENSMUSP00000027650"
"Npff","10090.ENSMUSP00000023814"
"Dtymk","10090.ENSMUSP00000027503"
"Map4k3","10090.ENSMUSP00000025089"
"Hspg2","10090.ENSMUSP00000131316"
"Ncmap","10090.ENSMUSP00000101486"
"Piezo2","10090.ENSMUSP00000040019"
"Lamp1","10090.ENSMUSP00000033824"
"Rai14","10090.ENSMUSP00000087815"
"Msmo1","10090.ENSMUSP00000034015"
"Gng2","10090.ENSMUSP00000125697"
"Rab12","10090.ENSMUSP00000128645"
"Gnl2","10090.ENSMUSP00000030684"
"Adam9","10090.ENSMUSP00000146545"
"Wdfy3","10090.ENSMUSP00000052607"
"Pnpla6","10090.ENSMUSP00000146680"
"Wdr77","10090.ENSMUSP00000010278"
"Cd82","10090.ENSMUSP00000028644"
"Ubr2","10090.ENSMUSP00000108963"
"Gnptab","10090.ENSMUSP00000020251"
"Dpysl2","10090.ENSMUSP00000022629"
"Nudcd3","10090.ENSMUSP00000064668"
"Abhd14b","10090.ENSMUSP00000038755"
"Man1b1","10090.ENSMUSP00000036996"
"Tpp1","10090.ENSMUSP00000033184"
"Frmd3","10090.ENSMUSP00000081514"
